file,url,folder,title,words,unique_shingles,unique_share,inbound
careers/index.html,https://pishtaj.ir/careers/index.html,careers,فرصت شغلی | پیشرو تجهیز فرتاک,54,26,0.531,1
assistant/index.html,https://pishtaj.ir/assistant/index.html,assistant,دستیار هوشمند انتخاب متریال و شیرآلات صنعتی | AI Assistant,175,30,0.184,541
news/index.html,https://pishtaj.ir/news/index.html,news,اخبار و اطلاعیه‌ها | پیشرو تجهیز فرتاک,169,35,0.208,572
en/careers.html,https://pishtaj.ir/en/careers.html,en,Careers | Pishro Tajhiz Fartak,38,37,1.0,1
search/index.html,https://pishtaj.ir/search/index.html,search,جستجوی سایت | پیشرو تجهیز فرتاک,59,37,0.771,1
knowledge-center/ph.html,https://pishtaj.ir/knowledge-center/ph.html,knowledge-center,راهنمای pH متر صنعتی | پیشرو تجهیز فرتاک,1680,55,0.041,2
knowledge-center/esd-emergency-shutdown.html,https://pishtaj.ir/knowledge-center/esd-emergency-shutdown.html,knowledge-center,راهنمای سیستم ESD (Emergency Shutdown) | پیشرو تجهیز فرتاک,1684,59,0.044,6
knowledge-center/thermowell.html,https://pishtaj.ir/knowledge-center/thermowell.html,knowledge-center,Thermowell (ترموول) | پیشرو تجهیز فرتاک,1683,59,0.044,2
knowledge-center/fire-gas-system-fgs.html,https://pishtaj.ir/knowledge-center/fire-gas-system-fgs.html,knowledge-center,راهنمای Fire & Gas System (FGS) | پیشرو تجهیز فرتاک,1683,60,0.045,7
knowledge-center/modbus-tcp-rtu.html,https://pishtaj.ir/knowledge-center/modbus-tcp-rtu.html,knowledge-center,راهنمای شبکه Modbus TCP/RTU | پیشرو تجهیز فرتاک,1688,66,0.049,4
knowledge-center/conductivity-meter.html,https://pishtaj.ir/knowledge-center/conductivity-meter.html,knowledge-center,راهنمای هدایت سنج (Conductivity Meter) | پیشرو تجهیز فرتاک,1681,69,0.051,4
knowledge-center/guided-wave-non-contact.html,https://pishtaj.ir/knowledge-center/guided-wave-non-contact.html,knowledge-center,سطح‌سنج راداری | پیشرو تجهیز فرتاک,1691,69,0.051,4
knowledge-center/sil-iec-61508-iec-61511.html,https://pishtaj.ir/knowledge-center/sil-iec-61508-iec-61511.html,knowledge-center,SIL در ابزار دقیق | پیشرو تجهیز فرتاک,1688,69,0.051,4
knowledge-center/turbidity-meter.html,https://pishtaj.ir/knowledge-center/turbidity-meter.html,knowledge-center,راهنمای Turbidity Meter (کدورت سنج) | پیشرو تجهیز فرتاک,1684,71,0.053,3
knowledge-center/seat-ptfe-peek-nylon.html,https://pishtaj.ir/knowledge-center/seat-ptfe-peek-nylon.html,knowledge-center,مواد نشیمنگاه (Seat) در شیرآلات | پیشرو تجهیز فرتاک,1691,73,0.054,4
knowledge-center/ups-online-line-interactive.html,https://pishtaj.ir/knowledge-center/ups-online-line-interactive.html,knowledge-center,UPS صنعتی | پیشرو تجهیز فرتاک,1687,74,0.055,3
